French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
venu,came
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
